ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
35.819534,71.36351,0.03713092,0.14500387,28,290.0,-0.54750395,0.0,91.6419,43500.0,5.911745309829712,22.28121018409729,64.29052591323853,797.6853542327881,217500,-0.33108297,0.1700024,1450.0,0.0,97.24427,217500.0,0.77075624,177.99918,0.41004628,0.037156668,0.14509232
35.763573,71.32188,0.037159447,0.14512706,29,300.0,-1.1189696,0.0,88.26048,45000.0,4.328354358673096,20.89025354385376,59.75073504447937,747.164140701294,225000,-0.33439896,0.17466721,1500.0,0.0,95.77431,225000.0,0.8050668,177.9992,0.38,0.03717492,0.14529838
35.790546,71.34216,0.037284285,0.14540105,30,310.0,-1.40955,0.0,86.45947,46500.0,4.560899257659912,22.422810077667236,63.7301812171936,831.9787368774414,232500,-0.33623394,0.17772797,1550.0,0.0,93.20658,232500.0,0.86479276,177.99924,0.34875,0.03727245,0.14557116
35.763603,71.322174,0.037410382,0.14537144,31,320.0,-0.3197646,0.0,89.06053,48000.0,4.657244443893433,23.477770566940308,64.31645727157593,813.5380980968475,240000,-0.34097555,0.17801172,1600.0,0.0,92.04478,240000.0,0.9071311,177.99925,0.3175,0.037399616,0.14547494
35.75787,71.31797,0.037591822,0.14545207,32,330.0,-1.3078458,0.0,92.18037,49500.0,5.147357225418091,24.151774406433105,66.15741729736328,821.5647792816162,247500,-0.3425591,0.17506036,1650.0,0.0,95.50128,247500.0,0.9481963,177.99927,0.2845085,0.037599962,0.14551875
35.76491,71.32356,0.03774726,0.14564216,33,340.0,-0.9596437,0.0,93.6413,51000.0,3.751836061477661,20.729060173034668,60.588019609451294,740.2103881835938,255000,-0.34740105,0.19167346,1700.0,0.0,91.53588,255000.0,1.0508103,177.9993,0.25106275,0.03775257,0.14566787
35.73906,71.30422,0.03786087,0.14552447,34,350.0,-0.43047014,0.0,74.84816,52500.0,3.8016467094421387,19.8028461933136,58.50966548919678,725.9971597194672,262500,-0.34586588,0.17983846,1750.0,0.0,90.94905,262500.0,1.0987285,177.99933,0.21228905,0.037873857,0.14548945
35.75633,71.31726,0.03793306,0.14537494,35,360.0,0.016635401,0.0,86.78208,54000.0,3.9960553646087646,20.56714415550232,59.43095135688782,701.7359235286713,270000,-0.35829082,0.189924,1800.0,0.0,87.037315,270000.0,1.1380423,177.99933,0.1732864,0.03795737,0.14534815
35.78309,71.33724,0.037783194,0.1451609,36,370.0,0.18625772,0.0,86.48027,55500.0,3.7568488121032715,20.2605299949646,58.727381467819214,710.3966553211212,277500,-0.34712067,0.2038679,1850.0,0.0,88.60616,277500.0,1.2403853,177.99936,0.11767348,0.037849277,0.14515209
35.81608,71.361725,0.037892647,0.14515853,37,380.0,-4.974277,0.0,99.046715,57000.0,4.597748041152954,21.07646346092224,61.089322328567505,718.095219373703,285000,-0.34614775,0.19717072,1900.0,0.0,90.629005,285000.0,1.256453,177.99937,0.01,0.03794053,0.14508288
